Date,Price,Open,High,Low,Volume,Chg%
3/7/2014,30307,30361,30514,30130,19380,-0.36
3/10/2014,30327,30253,30350,30145,13500,0.07
3/11/2014,30421,30301,30515,30166,23170,0.31
3/12/2014,30627,30468,30690,30468,19020,0.68
3/13/2014,30697,30677,30735,30492,15380,0.23
3/14/2014,30719,30730,30849,30610,19040,0.07
3/17/2014,30557,30699,30710,30525,5190,-0.53
3/18/2014,30389,30511,30511,30311,15940,-0.55
3/19/2014,30169,30392,30416,30122,13680,-0.72
3/20/2014,29924,30110,30168,29885,14010,-0.81
3/21/2014,29850,29893,30038,29817,11960,-0.25
3/24/2014,29182,29810,29810,29141,18000,-2.24
3/25/2014,28971,29230,29317,28931,20330,-0.72
3/26/2014,28595,29020,29043,28335,16650,-1.3
3/27/2014,28521,28631,28740,28351,17230,-0.26
3/28/2014,28434,28488,28630,28213,18090,-0.31
3/31/2014,28470,28427,28778,28340,12650,0.13
4/1/2014,28116,28432,28507,28058,8840,-1.24
4/2/2014,28404,28035,28470,27361,480,1.02
4/3/2014,28460,28500,28699,28365,110,0.2
4/4/2014,28519,28400,28885,28400,190,0.21
4/5/2014,28549,28549,28549,28549,0,0.11
4/7/2014,28574,28599,28643,28481,10450,0.09
4/8/2014,28754,28639,28842,28639,5740,0.63
4/9/2014,28710,28754,28856,28653,12120,-0.15
4/10/2014,29094,28757,29119,28757,13700,1.34
4/11/2014,29085,29090,29162,28973,10530,-0.03
4/14/2014,29350,29095,29371,29095,6090,0.91
4/15/2014,29342,29287,29395,29059,21410,-0.03
4/16/2014,29290,29280,29320,28900,16580,-0.18
4/17/2014,29293,29256,29386,29185,10460,0.01
4/19/2014,29339,29339,29339,29339,0,0.16
4/21/2014,29548,29207,29599,29072,13860,0.71
4/22/2014,29423,29550,29649,29381,11700,-0.42
4/23/2014,29752,29480,29775,29433,9860,1.12
4/25/2014,29741,29750,29939,29650,10180,-0.04
4/27/2014,29695,29695,29695,29695,0,-0.15
4/28/2014,29824,29895,29900,29756,6680,0.43
4/29/2014,29713,29786,29799,29607,6760,-0.37
4/30/2014,31014,29602,31495,29571,12250,4.38
5/1/2014,30380,31033,31743,29914,2850,-2.04
5/2/2014,30182,30388,30440,30080,930,-0.65
5/5/2014,29967,30211,30347,29834,1040,-0.71
5/6/2014,29109,29187,29231,29081,9330,-2.86
5/7/2014,28747,29164,29275,28725,15480,-1.24
5/8/2014,28734,28787,28846,28665,9560,-0.05
5/9/2014,28741,28677,28877,28673,10090,0.02
5/12/2014,28860,28732,29025,28575,14220,0.41
5/13/2014,28673,28787,28874,28633,12740,-0.65
5/14/2014,28911,28769,28960,28769,7410,0.83
5/15/2014,28624,28882,28882,28575,14660,-0.99
5/16/2014,28322,28575,28575,28251,11490,-1.06
5/19/2014,28336,28275,28475,28233,11590,0.05
5/20/2014,28424,28291,28460,28253,15280,0.31
5/21/2014,27501,28445,28540,27432,31580,-3.25
5/22/2014,27386,27504,27640,27252,24650,-0.42
5/23/2014,27528,27400,27584,27281,13710,0.52
5/26/2014,27586,27544,27620,27421,11500,0.21
5/27/2014,27087,27567,27598,27010,19860,-1.81
5/28/2014,26987,27032,27100,26853,15200,-0.37
5/29/2014,26984,26945,27083,26661,18000,-0.01
5/30/2014,27151,26915,27215,26862,12890,0.62
6/2/2014,26626,27012,27130,26520,2920,-1.93
6/3/2014,26732,26756,26874,26592,450,0.4
6/4/2014,26708,26582,26910,26582,130,-0.09
6/5/2014,26771,26800,26860,26605,70,0.24
6/6/2014,26400,26548,26600,26350,11550,-1.39
6/9/2014,26545,26400,26570,26278,8470,0.55
6/10/2014,26712,26585,26738,26475,11670,0.63
6/11/2014,26736,26720,26780,26527,13560,0.09
6/12/2014,27014,26740,27050,26640,14160,1.04
6/13/2014,27235,27020,27289,26988,10270,0.82
6/16/2014,27395,27255,27644,27255,12660,0.59
6/17/2014,27418,27306,27488,27135,13700,0.08
6/18/2014,27353,27351,27538,27230,14470,-0.24
6/19/2014,28160,27313,28199,27313,21910,2.95
6/20/2014,28154,28150,28349,27977,18080,-0.02
6/23/2014,28111,28245,28267,28035,12310,-0.15
6/24/2014,28167,28099,28369,27860,17400,0.2
6/25/2014,28221,28121,28290,28057,14010,0.19
6/26/2014,28126,28190,28208,27935,17380,-0.34
6/27/2014,28063,28201,28236,28005,9920,-0.22
6/30/2014,28076,28000,28185,27967,8760,0.05
7/1/2014,27975,28210,28277,27950,4410,-0.36
7/2/2014,27788,27950,28225,27750,2880,-0.67
7/3/2014,27802,27552,27900,27552,1200,0.05
7/4/2014,27913,27884,27975,27755,260,0.4
7/7/2014,27564,27611,27611,27455,11210,-1.25
7/8/2014,27594,27582,27725,27460,15210,0.11
7/9/2014,27667,27620,27771,27612,11340,0.26
7/10/2014,28565,27650,28649,27560,40700,3.25
7/11/2014,28441,28517,28579,28302,15110,-0.43
7/12/2014,28413,28413,28413,28413,0,-0.1
7/13/2014,28413,28413,28413,28413,0,0
7/14/2014,27860,28380,28380,27839,21930,-1.95
7/15/2014,27752,27890,28050,27686,18230,-0.39
7/16/2014,27767,27800,27825,27671,14010,0.05
7/17/2014,28237,27824,28450,27810,24740,1.69
7/18/2014,28028,28227,28233,27960,13870,-0.74
7/20/2014,28030,28030,28030,28030,0,0.01
7/21/2014,28120,28068,28247,28022,13210,0.32
7/22/2014,27939,28061,28135,27851,19880,-0.64
7/23/2014,27915,27930,28046,27888,11870,-0.09
7/24/2014,27651,27882,27882,27630,16960,-0.95
7/25/2014,27973,27696,27994,27673,12810,1.16
7/27/2014,27960,27960,27960,27960,0,-0.05
7/28/2014,27909,27985,28085,27874,10300,-0.18
7/29/2014,27855,27950,28067,27827,7440,-0.19
7/30/2014,27936,27888,27984,27740,10900,0.29
7/31/2014,27788,27800,27969,27751,11560,-0.53
8/1/2014,28037,27810,28124,27761,3300,0.9
8/4/2014,27952,28023,28118,27900,1020,-0.3
8/5/2014,28392,27959,28790,27724,220,1.57
8/6/2014,28559,28130,28640,28088,19080,0.59
8/7/2014,28695,28559,28750,28460,14960,0.48
8/8/2014,28515,28730,29010,28500,21260,-0.63
8/10/2014,28510,28510,28510,28510,0,-0.02
8/11/2014,28554,28480,28600,28445,8670,0.15
8/12/2014,28641,28520,28780,28474,12990,0.3
8/13/2014,28567,28590,28645,28480,13990,-0.26
8/14/2014,28489,28521,28657,28378,16180,-0.27
8/18/2014,28167,28405,28405,28140,10490,-1.13
8/19/2014,28124,28170,28248,28087,9500,-0.15
8/20/2014,28079,28120,28158,28025,10170,-0.16
8/21/2014,27599,28025,28025,27550,17840,-1.71
8/22/2014,27634,27657,27720,27555,11050,0.13
8/25/2014,27632,27624,27678,27535,8400,-0.01
8/26/2014,27720,27652,27880,27652,13070,0.32
8/27/2014,27599,27741,27760,27575,9260,-0.44
8/28/2014,27884,27642,27974,27642,14140,1.03
8/29/2014,27794,27835,27835,27652,4090,-0.32
9/1/2014,27679,27747,27774,27651,4160,-0.41
9/2/2014,27340,27610,27676,27318,4010,-1.22
9/3/2014,27355,27362,27420,27186,1120,0.05
9/4/2014,27282,27418,27427,27262,270,-0.27
9/5/2014,27225,27250,27360,27068,340,-0.21
9/8/2014,27207,27448,27497,27116,13170,-0.07
9/9/2014,27272,27237,27395,27159,15560,0.24
9/10/2014,27194,27350,27441,27152,13410,-0.29
9/11/2014,26996,27207,27246,26970,18440,-0.73
9/12/2014,26909,26958,26995,26801,16070,-0.32
9/13/2014,26900,26900,26900,26900,0,-0.03
9/15/2014,27006,26949,27118,26913,16610,0.39
9/16/2014,26954,27008,27110,26920,19690,-0.19
9/17/2014,26907,26960,27009,26860,12060,-0.17
9/18/2014,26659,26860,26860,26572,15980,-0.92
9/19/2014,26497,26605,26694,26470,15870,-0.61
9/22/2014,26605,26436,26665,26313,16470,0.41
9/23/2014,26682,26586,26937,26488,16660,0.29
9/24/2014,26552,26685,26760,26526,13880,-0.49
9/25/2014,26919,26514,26950,26381,19580,1.38
9/26/2014,26694,26960,27100,26665,19990,-0.84
9/27/2014,26693,26693,26693,26693,0,0
9/29/2014,26819,26760,26915,26685,9130,0.47
9/30/2014,26805,26807,26968,26633,10680,-0.05
10/1/2014,26790,26695,26840,26552,3920,-0.06
10/3/2014,26439,26931,26931,26377,11020,-1.31
10/5/2014,26424,26424,26424,26424,0,-0.06
10/6/2014,26637,26476,26667,26352,6970,0.81
10/7/2014,26673,26581,26710,26566,14870,0.14
10/8/2014,26633,26698,26885,26620,15810,-0.15
10/9/2014,26847,26696,26938,26696,16430,0.8
10/10/2014,26855,26813,26940,26750,15640,0.03
10/13/2014,26855,26900,27135,26811,16690,0
10/14/2014,27128,26892,27170,26892,15720,1.02
10/16/2014,27328,27150,27475,27150,17550,0.74
10/17/2014,27151,27310,27362,27085,14210,-0.65
10/20/2014,27302,27131,27360,27078,11360,0.56
10/21/2014,27394,27358,27496,27343,12770,0.34
10/22/2014,27333,27369,27389,27265,9860,-0.22
10/23/2014,26940,27174,27174,26913,6400,-1.44
10/24/2014,26963,27050,27067,26950,3460,0.09
10/27/2014,27008,26957,27048,26913,7360,0.17
10/28/2014,26909,26962,27076,26880,8530,-0.37
10/29/2014,26864,26974,26990,26805,6310,-0.17
10/30/2014,26376,26811,26811,26326,10880,-1.82
10/31/2014,25924,26350,26375,25684,15940,-1.71
11/3/2014,25868,25877,25947,25750,3750,-0.22
11/4/2014,25810,25930,25965,25725,220,-0.22
11/5/2014,25348,25578,26340,25201,980,-1.79
11/6/2014,25467,25448,25568,25411,8380,0.47
11/7/2014,25926,25475,25970,25172,30780,1.8
11/10/2014,25719,25949,26070,25670,15440,-0.8
11/11/2014,25793,25632,25861,25434,19180,0.29
11/12/2014,25794,25798,25940,25735,17110,0
11/13/2014,25827,25849,25920,25689,20230,0.13
11/14/2014,26458,25791,26519,25585,33820,2.44
11/16/2014,26411,26411,26411,26411,0,-0.18
11/17/2014,26319,26370,26499,26275,20730,-0.35
11/18/2014,26587,26367,26756,26367,24600,1.02
11/19/2014,26710,26548,26840,26235,33870,0.46
11/20/2014,26459,26620,26620,26375,26020,-0.94
11/21/2014,26390,26509,26623,26340,26750,-0.26
11/24/2014,26473,26462,26539,26420,15020,0.31
11/25/2014,26338,26480,26537,26322,19750,-0.51
11/26/2014,26397,26395,26440,26330,10020,0.22
11/27/2014,26237,26355,26355,26170,14220,-0.61
11/28/2014,25853,26150,26244,25815,15530,-1.46
12/1/2014,26546,25803,26627,25123,5730,2.68
12/2/2014,26224,26438,27050,26087,1150,-1.21
12/3/2014,26496,26309,26699,26236,90,1.04
12/4/2014,26488,26299,26850,26299,60,-0.03
12/5/2014,26279,26698,26698,25801,170,-0.79
12/8/2014,26228,26277,26350,26164,10300,-0.19
12/9/2014,27023,26322,27168,26321,25020,3.03
12/10/2014,27054,27000,27220,26910,18250,0.11
12/11/2014,27142,27096,27240,26860,18570,0.33
12/12/2014,27088,27168,27188,26910,19320,-0.2
12/15/2014,27173,27037,27348,26912,19060,0.31
12/16/2014,27044,27120,27636,26822,35790,-0.47
12/17/2014,26802,27011,27099,26775,19260,-0.89
12/18/2014,26659,26888,27111,26580,22400,-0.53
12/19/2014,26859,26725,26922,26654,13730,0.75
12/22/2014,26458,26859,26910,26403,15110,-1.49
12/23/2014,26468,26499,26600,26366,13760,0.04
12/24/2014,26433,26500,26514,26411,6950,-0.13
12/26/2014,26894,26470,26930,26470,13780,1.74
12/29/2014,26598,26919,26919,26560,10820,-1.1
12/30/2014,26908,26646,27068,26511,16300,1.17
12/31/2014,26594,26909,26909,26491,9510,-1.17
1/1/2015,26586,26610,26647,26539,1820,-0.03
1/2/2015,26700,26585,26740,26285,1990,0.43
1/5/2015,26847,26800,26911,26650,570,0.55
1/6/2015,27385,27095,27442,27094,26640,2
1/7/2015,27159,27328,27350,27110,19660,-0.83
1/8/2015,26808,27150,27150,26770,21730,-1.29
1/9/2015,26806,26751,26877,26680,19710,-0.01
1/12/2015,27032,26865,27119,26839,21930,0.84
1/13/2015,27071,27118,27258,27020,22930,0.14
1/14/2015,27210,27013,27280,26916,24400,0.51
1/15/2015,27493,27150,27546,26731,50280,1.04
1/16/2015,27673,27540,27798,27383,28540,0.65
1/17/2015,27627,27627,27627,27627,0,-0.17
1/19/2015,27718,27642,27784,27633,15760,0.33
1/20/2015,28098,27700,28145,27700,27570,1.37
1/21/2015,27992,28071,28298,27850,27720,-0.38
1/22/2015,28055,27966,28240,27762,27560,0.23
1/23/2015,27884,28015,28114,27813,18520,-0.61
1/25/2015,27887,27887,27887,27887,0,0.01
1/27/2015,27934,27815,28033,27584,20580,0.17
1/28/2015,27795,27896,27974,27771,15130,-0.5
1/29/2015,27470,27782,27848,27435,22610,-1.17
1/30/2015,27911,27540,28260,27470,16390,1.61
2/2/2015,28071,28120,28197,27743,2230,0.57
2/3/2015,27687,28071,28079,27600,540,-1.37
2/4/2015,27814,27660,27835,27578,170,0.46
2/5/2015,27683,27785,27900,27461,110,-0.47
2/6/2015,26968,27498,27598,26912,22240,-2.58
2/9/2015,27119,27011,27172,26996,13600,0.56
2/10/2015,27016,27180,27180,26984,13530,-0.38
2/11/2015,26817,27050,27050,26770,16680,-0.74
2/12/2015,26635,26756,26920,26620,15850,-0.68
2/13/2015,26694,26700,26815,26642,17170,0.22
2/16/2015,26742,26720,26884,26720,8740,0.18
2/17/2015,26241,26722,26722,26215,11240,-1.87
2/18/2015,26181,26280,26390,26128,15570,-0.23
2/19/2015,26294,26260,26521,26199,16560,0.43
2/20/2015,26317,26337,26435,26186,15080,0.09
2/21/2015,26319,26319,26319,26319,0,0.01
2/23/2015,26178,26281,26310,26001,18600,-0.54
2/24/2015,26077,26219,26277,26015,14350,-0.39
2/25/2015,26142,26138,26343,26120,14250,0.25
2/26/2015,26239,26200,26370,26200,14620,0.37
2/27/2015,26206,26243,26320,26132,13560,-0.13
2/28/2015,26480,26111,26518,26043,8150,1.05
3/2/2015,26541,26508,26997,26440,5080,0.23
3/3/2015,26453,26527,26601,26400,1050,-0.33
3/4/2015,26539,26500,26600,26401,3300,0.33
3/5/2015,26473,26510,26599,26418,220,-0.25
3/6/2015,26058,26485,26530,26025,15680,-1.57
3/9/2015,26062,26096,26177,26041,12550,0.02
3/10/2015,25960,26050,26100,25825,21180,-0.39
3/11/2015,25716,25979,25996,25691,17900,-0.94
3/12/2015,25690,25750,25890,25609,21260,-0.1
3/13/2015,25909,25750,25945,25750,19760,0.85
3/14/2015,25922,25922,25922,25922,0,0.05
3/16/2015,25797,25945,25967,25735,14550,-0.48
3/17/2015,25635,25741,25830,25551,20540,-0.63
3/18/2015,25653,25665,25700,25520,16400,0.07
3/19/2015,25970,25712,25992,25712,21330,1.24
3/20/2015,26195,25996,26249,25915,18360,0.87
3/23/2015,26208,26195,26226,26089,11460,0.05
3/24/2015,26350,26180,26389,26140,14190,0.54
3/25/2015,26491,26313,26519,26219,14890,0.54
3/26/2015,26805,26519,26991,26519,16890,1.19
3/27/2015,26564,26774,26774,26381,15740,-0.9
3/30/2015,26239,26468,26468,26200,10610,-1.22
3/31/2015,26061,26200,26310,26020,5280,-0.68
4/1/2015,26510,26122,26800,26060,1600,1.72
4/2/2015,26548,26601,26697,26460,7800,0.14
4/6/2015,26941,26625,27038,26625,13580,1.48
4/7/2015,26829,26925,26928,26801,8930,-0.42
4/8/2015,26682,26842,26873,26615,11850,-0.55
4/9/2015,26452,26612,26612,26410,12460,-0.86
4/10/2015,26703,26482,26750,26452,13550,0.95
4/13/2015,26616,26703,26730,26550,10390,-0.33
4/14/2015,26454,26569,26569,26300,8700,-0.61
4/15/2015,26644,26450,26680,26388,12440,0.72
4/16/2015,26533,26644,26740,26472,12930,-0.42
4/17/2015,26702,26530,26730,26520,11630,0.64
4/20/2015,26719,26699,26849,26670,11990,0.06
4/21/2015,26803,26745,26820,26632,14250,0.31
4/22/2015,26489,26778,26848,26459,16540,-1.17
4/23/2015,26777,26515,26792,26461,12510,1.09
4/24/2015,26574,26734,26839,26521,12980,-0.76
4/27/2015,26944,26624,26980,26588,12830,1.39
4/28/2015,27036,26969,27059,26833,9360,0.34
4/29/2015,27096,26985,27140,26953,8630,0.22
4/30/2015,26593,27056,27148,26500,10430,-1.86
5/1/2015,26483,26572,26572,26300,2020,-0.41
5/4/2015,26747,26580,27114,26580,390,1
5/5/2015,26852,26734,27060,26640,190,0.39
5/6/2015,26928,26950,27070,26835,14940,0.28
5/7/2015,26951,26904,27050,26862,15860,0.09
5/8/2015,26903,26960,27019,26825,16350,-0.18
5/11/2015,26853,26898,26969,26786,14010,-0.19
5/12/2015,27180,26899,27225,26892,17500,1.22
5/13/2015,27539,27131,27569,27063,21700,1.32
5/14/2015,27444,27465,27599,27370,19020,-0.34
5/15/2015,27473,27417,27500,27260,15940,0.11
5/18/2015,27629,27518,27695,27513,13940,0.57
5/19/2015,27309,27565,27599,27266,17570,-1.16
5/20/2015,27299,27280,27370,27205,11460,-0.04
5/21/2015,27130,27280,27339,27108,12950,-0.62
5/22/2015,27105,27144,27327,27071,13440,-0.09
5/25/2015,27180,27112,27197,27101,6980,0.28
5/26/2015,26917,27154,27227,26884,14640,-0.97
5/27/2015,26900,26929,26994,26856,9900,-0.06
5/28/2015,26899,26877,26950,26760,11250,0
5/29/2015,26866,26900,26949,26820,8560,-0.12
6/1/2015,26690,26926,27014,26133,4370,-0.66
6/2/2015,26856,26743,26929,26730,820,0.62
6/3/2015,26806,26908,27000,26775,180,-0.19
6/4/2015,26564,26840,26869,26454,40,-0.9
6/5/2015,26439,26599,26613,26371,260,-0.47
6/8/2015,26693,26691,26749,26621,8060,0.96
6/9/2015,26754,26715,26817,26665,11230,0.23
6/10/2015,26850,26750,26958,26730,10570,0.36
6/11/2015,26772,26864,26864,26681,9480,-0.29
6/12/2015,26773,26770,26860,26725,9190,0
6/15/2015,26915,26795,26997,26625,14250,0.53
6/16/2015,26831,26938,26958,26760,9780,-0.31
6/17/2015,26763,26828,26828,26690,8430,-0.25
6/18/2015,27031,26760,27120,26760,15630,1
6/19/2015,26959,27020,27061,26901,7990,-0.27
6/22/2015,26589,26941,26941,26570,11550,-1.37
6/23/2015,26478,26650,26676,26461,9710,-0.42
6/24/2015,26418,26510,26559,26361,9930,-0.23
6/25/2015,26365,26470,26494,26342,7830,-0.2
6/26/2015,26399,26383,26468,26292,9710,0.13
6/29/2015,26508,26482,26716,26461,8860,0.41
6/30/2015,26301,26452,26470,26211,7760,-0.78
7/1/2015,26182,26275,26380,26160,1790,-0.45
7/2/2015,26024,26164,26246,25985,470,-0.6
7/3/2015,26393,26010,26800,26005,270,1.42
7/6/2015,26335,26393,26397,26205,11600,-0.22
7/7/2015,26032,26271,26288,25886,19000,-1.15
7/8/2015,26222,26011,26250,25870,17350,0.73
7/9/2015,26071,26130,26250,26050,14660,-0.58
7/10/2015,26071,26080,26175,26030,12140,0
7/13/2015,26033,26122,26125,25952,12040,-0.15
7/14/2015,25934,26026,26095,25911,11830,-0.38
7/15/2015,25852,25987,25987,25774,14060,-0.32
7/16/2015,25774,25824,25824,25720,10570,-0.3
7/17/2015,25505,25780,25780,25482,13120,-1.04
7/20/2015,25042,25480,25480,24910,23100,-1.82
7/21/2015,24908,24997,25065,24881,14620,-0.54
7/22/2015,24688,24850,24850,24591,20050,-0.88
7/23/2015,24742,24786,24919,24716,18270,0.22
7/24/2015,24729,24701,24829,24470,19480,-0.05
7/27/2015,24910,24694,25034,24671,21500,0.73
7/28/2015,24768,24837,24870,24714,14790,-0.57
7/29/2015,24729,24784,24849,24705,14890,-0.16
7/30/2015,24739,24702,24824,24581,17050,0.04
7/31/2015,24789,24680,24919,24551,15360,0.2
8/3/2015,24696,24823,24886,24666,2830,-0.38
8/4/2015,24638,24670,24704,24540,290,-0.23
8/5/2015,24545,24614,24635,24500,100,-0.38
8/6/2015,24692,24583,24745,24530,10620,0.6
8/7/2015,24796,24682,24872,24615,19130,0.42
8/10/2015,25026,24800,25096,24774,14670,0.93
8/11/2015,25323,25045,25430,25002,20870,1.19
8/12/2015,25898,25400,25923,25400,23190,2.27
8/13/2015,25763,25785,25859,25700,14690,-0.52
8/14/2015,25636,25706,25832,25605,13490,-0.49
8/17/2015,25924,25710,25999,25710,13380,1.12
8/18/2015,25890,25920,25971,25732,15150,-0.13
8/19/2015,26084,25870,26115,25801,15890,0.75
8/20/2015,26723,26145,26746,26145,21390,2.45
8/21/2015,27090,26780,27177,26676,27330,1.37
8/24/2015,27290,27100,27689,27070,27660,0.74
8/25/2015,26595,27250,27250,26533,23410,-2.55
8/26/2015,26341,26602,26694,26075,20090,-0.96
8/27/2015,26197,26271,26360,26102,13820,-0.55
8/28/2015,26490,26220,26600,26220,11900,1.12
8/31/2015,26540,26490,26600,26363,6820,0.19
9/1/2015,26623,26636,26847,26530,2330,0.31
9/2/2015,26417,26594,26639,26200,630,-0.77
9/3/2015,26196,26432,26474,26130,250,-0.84
9/4/2015,26256,26325,26490,26001,250,0.23
9/7/2015,26506,26595,26620,26465,9330,0.95
9/8/2015,26436,26500,26567,26391,14030,-0.26
9/9/2015,26069,26450,26486,26010,16520,-1.39
9/10/2015,26179,26150,26299,26062,16920,0.42
9/11/2015,25981,26190,26209,25918,15490,-0.76
9/14/2015,26078,26045,26128,25970,12160,0.37
9/15/2015,25982,26089,26095,25956,12790,-0.37
9/16/2015,26285,25994,26367,25967,20080,1.17
9/17/2015,26176,26212,26273,26113,7410,-0.41
9/18/2015,26476,26300,26591,26300,23100,1.15
9/21/2015,26345,26488,26550,26281,17900,-0.49
9/22/2015,26242,26320,26470,26180,22310,-0.39
9/23/2015,26476,26240,26509,26210,16309,0.89
9/24/2015,26965,26510,27078,26462,28450,1.85
9/25/2015,26744,26900,26900,26634,10770,-0.82
9/28/2015,26508,26746,26746,26361,16510,-0.88
9/29/2015,26253,26574,26590,26228,18830,-0.96
9/30/2015,25803,26211,26371,25737,22290,-1.71
10/1/2015,25782,25780,25863,25680,6120,-0.08
10/5/2015,26094,26159,26263,25960,1350,1.21
10/6/2015,26512,26300,26621,26272,16740,1.6
10/7/2015,26449,26555,26675,26320,18410,-0.24
10/8/2015,26351,26400,26499,26240,15300,-0.37
10/9/2015,26515,26311,26595,26263,16340,0.62
10/12/2015,26678,26626,26820,26527,16370,0.61
10/13/2015,26872,26640,26916,26503,20360,0.73
10/14/2015,27088,26920,27164,26756,21560,0.8
10/15/2015,27142,27130,27228,26940,20300,0.2
10/16/2015,27029,27102,27102,26942,13690,-0.42
10/19/2015,26882,26950,26950,26803,11290,-0.54
10/20/2015,26993,26821,27058,26756,15060,0.41
10/21/2015,26821,27036,27080,26801,12720,-0.64
10/22/2015,26737,26850,26877,26715,6530,-0.31
10/23/2015,26676,26759,26965,26602,16270,-0.23
10/26/2015,26689,26750,26790,26642,8550,0.05
10/27/2015,26790,26678,26820,26650,8790,0.38
10/28/2015,26930,26824,27033,26797,12540,0.52
10/29/2015,26470,26800,26800,26450,12520,-1.71
10/30/2015,26355,26464,26464,26281,8800,-0.43
11/2/2015,26228,26450,26450,26181,3900,-0.48
11/3/2015,25863,26240,26310,25833,1250,-1.39
11/4/2015,25646,25950,25993,25126,1190,-0.84
11/5/2015,25791,25661,25917,25661,270,0.57
11/6/2015,25538,25834,25918,25485,17490,-0.98
11/9/2015,25699,25619,25780,25619,13210,0.63
11/10/2015,25604,25710,25750,25510,11940,-0.37
11/11/2015,25490,25523,25548,25477,2700,-0.45
11/12/2015,25341,25480,25555,25223,9560,-0.58
11/13/2015,25388,25395,25519,25351,10870,0.19
11/16/2015,25360,25488,25740,25336,16640,-0.11
11/17/2015,25038,25284,25375,24978,17530,-1.27
11/18/2015,25108,25000,25180,25000,13280,0.28
11/19/2015,25308,25199,25442,25110,20140,0.8
11/20/2015,25252,25356,25496,25214,16280,-0.22
11/23/2015,25180,25235,25287,25084,13970,-0.29
11/24/2015,25305,25199,25395,25173,13980,0.5
11/25/2015,25230,25250,25280,25154,7600,-0.3
11/26/2015,25288,25260,25346,25250,8980,0.23
11/27/2015,25071,25221,25281,24981,13070,-0.86
11/30/2015,25114,24961,25180,24950,10330,0.17
12/1/2015,25018,25189,25250,24975,3710,-0.38
12/2/2015,24895,25169,25190,24860,240,-0.49
12/3/2015,25043,24890,25149,24803,40,0.59
12/4/2015,25631,25110,25750,25066,90,2.35
12/7/2015,25443,25589,25620,25410,9900,-0.73
12/8/2015,25424,25406,25515,25275,11440,-0.07
12/9/2015,25499,25470,25637,25333,15120,0.29
12/10/2015,25328,25455,25455,25303,10140,-0.67
12/11/2015,25581,25300,25610,25162,18050,1
12/14/2015,25256,25518,25539,25241,14420,-1.27
12/15/2015,25173,25256,25317,25111,12670,-0.33
12/16/2015,25372,25235,25400,25122,13480,0.79
12/17/2015,24766,25302,25302,24671,20770,-2.39
12/18/2015,25011,24802,25146,24781,15390,0.99
12/21/2015,25302,25067,25335,25051,14980,1.16
12/22/2015,25176,25242,25316,25155,12140,-0.5
12/23/2015,25004,25150,25170,24992,10710,-0.68
12/24/2015,25147,25040,25180,25035,5610,0.57
12/28/2015,25077,25136,25142,25062,8710,-0.28
12/29/2015,25106,25129,25243,25092,10210,0.12
12/30/2015,25017,25175,25224,25003,11240,-0.35
